76621,Click to see AT&T deals ►,"45 Mbps
                    speed available in Abbott",4
76621,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abbott",2
79311,Click to see Windstream deals ►,"10 Mbps
                    speed available in Abernathy",3
79311,Click to see South Plains Telephone Cooperative deals ►,"10 Mbps
                    speed available in Abernathy",""
79311,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abernathy",2
79601,Click to see AT&T deals ►,"45 Mbps
                    speed available in Abilene",4
79601,Click to see Windstream deals ►,"12 Mbps
                    speed available in Abilene",3
79601,Click to see Suddenlink Communications deals ►,"50 Mbps
                    speed available in Abilene",4
79601,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79601,"Click to see Taylor Telephone Cooperative, Inc. deals ►","3 Mbps
                    speed available in Abilene",""
79601,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79602,Click to see AT&T deals ►,"45 Mbps
                    speed available in Abilene",4
79602,Click to see Windstream deals ►,"12 Mbps
                    speed available in Abilene",3
79602,Click to see Suddenlink Communications deals ►,"50 Mbps
                    speed available in Abilene",4
79602,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79602,"Click to see Taylor Telephone Cooperative, Inc. deals ►","3 Mbps
                    speed available in Abilene",""
79602,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79603,Click to see AT&T deals ►,"75 Mbps
                    speed available in Abilene",4
79603,Click to see Windstream deals ►,"12 Mbps
                    speed available in Abilene",3
79603,Click to see Suddenlink Communications deals ►,"50 Mbps
                    speed available in Abilene",4
79603,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79603,"Click to see Taylor Telephone Cooperative, Inc. deals ►","3 Mbps
                    speed available in Abilene",""
79603,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79604,Click to see AT&T deals ►,"6 Mbps
                    speed available in Abilene",4
79604,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79605,Click to see AT&T deals ►,"1000 Mbps
                    speed available in Abilene",4
79605,Click to see Suddenlink Communications deals ►,"50 Mbps
                    speed available in Abilene",4
79605,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79605,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79606,Click to see AT&T deals ►,"1000 Mbps
                    speed available in Abilene",4
79606,Click to see Suddenlink Communications deals ►,"50 Mbps
                    speed available in Abilene",4
79606,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79606,"Click to see Taylor Telephone Cooperative, Inc. deals ►","3 Mbps
                    speed available in Abilene",""
79606,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79608,Click to see AT&T deals ►,"6 Mbps
                    speed available in Abilene",4
79608,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79697,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79698,Click to see AT&T deals ►,"6 Mbps
                    speed available in Abilene",4
79698,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
79699,Click to see AT&T deals ►,"6 Mbps
                    speed available in Abilene",4
79699,Click to see Suddenlink Communications deals ►,"10 Mbps
                    speed available in Abilene",4
79699,"Click to see NTS Communications, Inc. deals ►","0.8 Mbps
                    speed available in Abilene",5
79699,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Abilene",2
77326,"Click to see Eastex Telephone Cooperative, Inc. deals ►","3 Mbps
                    speed available in Ace",""
77326,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Ace",2
79713,Click to see Westex Telecom deals ►,"1.5 Mbps
                    speed available in Ackerly",""
79713,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Ackerly",2
75001,Click to see AT&T deals ►,"75 Mbps
                    speed available in Addison",4
75001,Click to see Charter deals ►,"100 Mbps
                    speed available in Addison",4
75001,Click to see Time Warner Cable deals ►,"50 Mbps
                    speed available in Addison",3
75001,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Addison",2
78101,Click to see AT&T deals ►,"75 Mbps
                    speed available in Adkins",4
78101,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Adkins",2
79001,Click to see Windstream deals ►,"0.8 Mbps
                    speed available in Adrian",3
79001,Click to see XIT Communications deals ►,"10 Mbps
                    speed available in Adrian",""
79001,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Adrian",2
79220,Click to see Cap Rock Telephone Cooperative deals ►,"3 Mbps
                    speed available in Afton",""
79220,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Afton",2
78330,Click to see Time Warner Cable deals ►,"10 Mbps
                    speed available in Agua Dulce",3
78330,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Agua Dulce",2
79221,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Aiken",2
78516,Click to see AT&T deals ►,"75 Mbps
                    speed available in Alamo",4
78516,Click to see Time Warner Cable deals ►,"10 Mbps
                    speed available in Alamo",3
78516,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alamo",2
79002,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alanreed",2
75410,Click to see Verizon deals ►,"3 Mbps
                    speed available in Alba",3
75410,Click to see Peoples Telephone Cooperative/Peoples FiberCom deals ►,"6 Mbps
                    speed available in Alba",4
75410,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alba",2
76430,Click to see AT&T deals ►,"45 Mbps
                    speed available in Albany",4
76430,Click to see Suddenlink Communications deals ►,"3 Mbps
                    speed available in Albany",4
76430,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Albany",2
76008,Click to see AT&T deals ►,"75 Mbps
                    speed available in Aledo",4
76008,Click to see Charter deals ►,"100 Mbps
                    speed available in Aledo",4
76008,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Aledo",2
78332,Click to see AT&T deals ►,"45 Mbps
                    speed available in Alice",4
78332,Click to see Time Warner Cable deals ►,"10 Mbps
                    speed available in Alice",3
78332,Click to see Valley Telephone Cooperative deals ►,"10 Mbps
                    speed available in Alice",""
78332,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alice",2
78333,Click to see AT&T deals ►,"6 Mbps
                    speed available in Alice",4
78333,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alice",2
77411,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alief",2
75002,Click to see Verizon FiOS deals ►,"50 Mbps
                    speed available in Addison",4
75002,Click to see AT&T deals ►,"75 Mbps
                    speed available in Addison",4
75002,Click to see Time Warner Cable deals ►,"50 Mbps
                    speed available in Addison",3
75002,Click to see Grande Communications deals ►,"100 Mbps
                    speed available in Addison",4
75002,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Addison",2
75013,Click to see Verizon FiOS deals ►,"50 Mbps
                    speed available in Allen",4
75013,Click to see AT&T deals ►,"75 Mbps
                    speed available in Allen",4
75013,Click to see Time Warner Cable deals ►,"50 Mbps
                    speed available in Allen",3
75013,Click to see Grande Communications deals ►,"100 Mbps
                    speed available in Allen",4
75013,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Allen",2
78935,Click to see AT&T deals ►,"6 Mbps
                    speed available in Alleyton",4
78935,Click to see Time Warner Cable deals ►,"10 Mbps
                    speed available in Alleyton",3
78935,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alleyton",2
79003,Click to see AT&T deals ►,"6 Mbps
                    speed available in Allison",4
79003,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Allison",2
79830,Click to see AT&T deals ►,"75 Mbps
                    speed available in Alpine",4
79830,Click to see Big Bend Telephone Company deals ►,"10 Mbps
                    speed available in Alpine",""
79830,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alpine",2
79831,Click to see AT&T deals ►,"6 Mbps
                    speed available in Alpine",4
79831,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alpine",2
79832,Click to see AT&T deals ►,"6 Mbps
                    speed available in Alpine",4
79832,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Alpine",2
77412,Click to see Hughesnet deals ►,"15 Mbps
                    speed available in Altair",2
